,MiscTechWorkedWith,.NET,.NET Core,React Native,Ansible,Pandas,Node.js,Unity 3D,TensorFlow,Torch/PyTorch,Teraform,Unreal Engine,Hadoop,Flutter,Cordova,Xamarin,Keras,Chef,Apache Spark,Puppet
238,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,React Native;Xamarin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
240,Node.js,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
241,.NET Core,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Cordova;Node.js;Xamarin,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
243,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,Pandas,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,Node.js,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
248,.NET,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,Node.js,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
250,Cordova;Node.js;Unity 3D,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
251,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,.NET;.NET Core,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,.NET;.NET Core;Node.js,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
254,Node.js,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
255,.NET Core,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,.NET;.NET Core;Flutter,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
257,.NET;.NET Core,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,.NET;Unity 3D,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
259,.NET;.NET Core,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,Pandas,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,.NET Core;Ansible;Node.js,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
262,.NET;.NET Core,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,Apache Spark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
264,.NET;.NET Core;Node.js;React Native,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
265,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,.NET;Node.js,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
268,Node.js,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
